City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,72.54,80,76,1.01,US,1667767199
1,ilulissat,69.2167,-51.1,-0.56,94,40,6.89,GL,1667767396
2,qaanaaq,77.484,-69.3632,2.53,91,100,2.86,GL,1667767396
3,tuktoyaktuk,69.4541,-133.0374,6.8,85,100,10.36,CA,1667767397
4,jamestown,42.097,-79.2353,71.24,60,75,13.8,US,1667767301
5,salina cruz,16.1667,-95.2,88.14,61,28,5.93,MX,1667767365
6,matara,5.9485,80.5353,75.18,89,65,2.15,LK,1667767397
7,sampit,-2.5333,112.95,73.29,97,100,4.25,ID,1667767398
8,new norfolk,-42.7826,147.0587,53.71,67,27,2.57,AU,1667767398
9,kununurra,-15.7667,128.7333,76.98,78,11,0.0,AU,1667767398
10,iqaluit,63.7506,-68.5145,11.93,67,20,6.91,CA,1667767399
11,ushuaia,-54.8,-68.3,49.62,81,75,8.05,AR,1667767338
12,luorong,24.4058,109.6086,63.09,84,0,1.95,CN,1667767399
13,chuy,-33.6971,-53.4616,63.48,72,15,11.45,UY,1667767400
14,lasa,46.6166,10.7002,45.48,59,95,2.17,IT,1667767400
15,bosaso,11.2842,49.1816,79.0,78,14,1.12,SO,1667767400
16,saskylakh,71.9167,114.0833,-24.34,100,48,2.75,RU,1667767401
17,macon,39.8667,-88.9668,66.87,48,0,16.11,US,1667767401
18,ahipara,-35.1667,173.1667,63.48,61,42,13.27,NZ,1667767401
19,marechal candido rondon,-24.5561,-54.0567,69.33,63,80,3.87,BR,1667767402
20,busselton,-33.65,115.3333,56.48,84,79,10.09,AU,1667767402
21,khatanga,71.9667,102.5,-17.16,98,39,5.3,RU,1667767403
22,namibe,-15.1961,12.1522,69.44,67,0,7.38,AO,1667767403
23,barra do garcas,-15.89,-52.2567,93.78,29,20,4.61,BR,1667767403
24,bluff,-46.6,168.3333,53.96,62,19,13.62,NZ,1667767404
25,sao filipe,14.8961,-24.4956,79.09,68,0,6.02,CV,1667767404
26,tilichiki,60.4667,166.1,17.42,96,81,7.65,RU,1667767404
27,kodiak,57.79,-152.4072,35.11,38,0,6.91,US,1667767405
28,ayolas,-27.4,-56.9,80.4,43,6,4.99,PY,1667767405
29,rikitea,-23.1203,-134.9692,71.87,73,56,13.78,PF,1667767405
30,hithadhoo,-0.6,73.0833,81.37,76,86,11.03,MV,1667767406
31,longyearbyen,78.2186,15.6401,31.84,74,75,13.8,SJ,1667767406
32,cape town,-33.9258,18.4232,66.09,69,0,10.36,ZA,1667767347
33,kavaratti,10.5669,72.642,81.48,75,0,6.11,IN,1667767406
34,grand gaube,-20.0064,57.6608,73.8,74,84,3.0,MU,1667767407
35,hearst,49.6835,-83.6665,34.05,97,100,6.42,CA,1667767407
36,horn lake,34.9554,-90.0348,73.87,74,40,8.05,US,1667767408
37,poya,-21.35,165.15,80.13,74,8,6.78,NC,1667767408
38,arica,-18.475,-70.3042,74.75,63,0,11.5,CL,1667767402
39,murgab,37.4966,61.9714,58.87,67,75,11.5,TM,1667767408
40,hermanus,-34.4187,19.2345,69.8,81,100,10.76,ZA,1667767409
41,ailigandi,9.2333,-78.0167,81.55,75,100,12.97,PA,1667767409
42,makakilo city,21.3469,-158.0858,83.44,61,0,18.41,US,1667767410
43,luderitz,-26.6481,15.1594,64.87,74,93,6.11,NA,1667767410
44,tjaereborg,55.4646,8.5797,50.65,90,100,21.85,DK,1667767410
45,muramvya,-3.2682,29.6079,57.13,91,96,1.23,BI,1667767411
46,arman,59.7,150.1667,25.02,77,100,11.48,RU,1667767411
47,sao joao da barra,-21.6403,-41.0511,75.29,69,0,11.72,BR,1667767412
48,port alfred,-33.5906,26.891,66.18,86,26,8.01,ZA,1667767412
49,turka,49.1541,23.0297,42.96,96,77,3.38,UA,1667767412
50,chokurdakh,70.6333,147.9167,4.68,93,100,16.98,RU,1667767413
51,fairview,40.8126,-73.999,74.46,76,100,9.22,US,1667767413
52,abu dhabi,24.4667,54.3667,82.51,69,0,0.0,AE,1667767413
53,beringovskiy,63.05,179.3167,28.65,95,100,4.43,RU,1667767414
54,marzuq,14.4,46.4667,66.11,75,0,4.7,YE,1667767414
55,hobart,-42.8794,147.3294,54.05,93,24,2.75,AU,1667767130
56,punta arenas,-53.15,-70.9167,62.71,45,0,18.41,CL,1667767414
57,georgetown,5.4112,100.3354,81.23,93,20,2.3,MY,1667767236
58,lianyuan,27.6883,111.6642,59.56,69,0,1.12,CN,1667767415
59,castro,-24.7911,-50.0119,56.62,76,94,3.78,BR,1667767415
60,bredasdorp,-34.5322,20.0403,64.74,89,100,4.7,ZA,1667767416
61,hambantota,6.1241,81.1185,75.99,84,68,9.62,LK,1667767416
62,imeni poliny osipenko,52.4201,136.4853,17.44,80,68,4.59,RU,1667767416
63,harlingen,26.1906,-97.6961,92.05,72,40,14.97,US,1667766625
64,roma,43.2128,-75.4557,75.96,57,20,14.97,US,1667767417
65,chemin grenier,-20.4872,57.4656,72.99,77,85,8.48,MU,1667767417
66,barstow,34.8986,-117.0228,74.39,35,2,19.06,US,1667767327
67,fortuna,40.5982,-124.1573,56.93,81,100,8.01,US,1667767418
68,lagoa,39.05,-27.9833,64.26,77,46,24.25,PT,1667767418
69,bambous virieux,-20.3428,57.7575,73.65,73,40,8.05,MU,1667767419
70,bathsheba,13.2167,-59.5167,83.01,83,75,13.8,BB,1667767419
71,carnarvon,-24.8667,113.6333,66.51,75,100,17.07,AU,1667767419
72,butaritari,3.0707,172.7902,78.98,75,43,6.08,KI,1667767420
73,caicedo,6.4051,-75.9826,74.07,88,95,2.98,CO,1667767420
74,ponta do sol,32.6667,-17.1,70.72,89,72,4.27,PT,1667767420
75,kenai,60.5544,-151.2583,19.15,80,0,3.44,US,1667767421
76,tura,25.5198,90.2201,65.53,89,0,2.84,IN,1667767211
77,ponta delgada,37.7333,-25.6667,65.12,72,20,9.22,PT,1667767421
78,mount gambier,-37.8333,140.7667,58.19,79,7,4.0,AU,1667767421
79,mar del plata,-38.0023,-57.5575,74.82,81,0,28.01,AR,1667767422
80,prince rupert,54.3161,-130.3201,35.69,35,0,18.41,CA,1667767422
81,vaini,-21.2,-175.2,78.96,69,20,5.75,TO,1667767423
82,puerto ayora,-0.7393,-90.3518,75.16,69,91,12.03,EC,1667767423
83,kudahuvadhoo,2.6708,72.8944,80.85,79,38,13.27,MV,1667767423
84,avarua,-21.2078,-159.775,78.85,57,20,6.91,CK,1667767424
85,kieta,-6.2167,155.6333,79.02,87,98,6.29,PG,1667767424
86,hilo,19.7297,-155.09,80.62,88,100,4.61,US,1667767343
87,guerrero negro,27.9769,-114.0611,70.68,55,0,11.34,MX,1667767226
88,anshun,26.25,105.9333,51.6,94,1,2.68,CN,1667767425
89,hualmay,-11.0964,-77.6139,67.5,70,28,9.75,PE,1667767425
90,mataura,-46.1927,168.8643,57.74,48,2,5.14,NZ,1667767425
91,kapaa,22.0752,-159.319,83.12,75,40,11.5,US,1667767426
92,atuona,-9.8,-139.0333,76.84,69,53,11.63,PF,1667767426
93,arraial do cabo,-22.9661,-42.0278,73.36,64,20,13.8,BR,1667767427
94,oktyabrskiy,54.4815,53.471,18.39,97,53,3.42,RU,1667767427
95,samarai,-10.6167,150.6667,82.31,75,95,5.21,PG,1667767427
96,nioro,13.35,-15.75,79.68,45,39,4.68,GM,1667767428
97,port elizabeth,-33.918,25.5701,70.11,86,0,16.11,ZA,1667767172
98,codrington,-38.2667,141.9667,57.85,80,3,2.35,AU,1667767428
99,tabuleiro do norte,-5.2467,-38.1306,83.14,62,100,11.12,BR,1667767429
100,carlagan,14.975,122.0456,78.62,88,99,7.92,PH,1667767429
101,ugoofaaru,5.6667,73.0,80.67,74,91,5.37,MV,1667767429
102,ossora,59.2353,163.0719,28.98,84,100,6.62,RU,1667767430
103,hami,42.8,93.45,45.45,27,82,3.78,CN,1667767430
104,tuatapere,-46.1333,167.6833,57.07,58,23,7.36,NZ,1667767430
